ID,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,How Dismissed,Opposition,Ground,Start Date,ODI ID
M349,93,149,96,9,2,96.87,2,caught,1,c †K C Sangakkara b M F Maharoof,v Sri Lanka,Nagpur,25 Oct 2005,ODI # 2286
M350,67*,87,69,11,0,97.1,2,not out,2,not out,v Sri Lanka,Mohali,28 Oct 2005,ODI # 2287
M351,2,2,3,0,0,66.66,2,caught,2,c †K C Sangakkara b W P U J C Vaas,v Sri Lanka,Jaipur,31 Oct 2005,ODI # 2290
M352,11,28,19,1,1,57.89,2,bowled,2,b W P U J C Vaas,v Sri Lanka,Pune,3 Nov 2005,ODI # 2291
M353,19,46,30,3,0,63.33,2,caught,2,c M F Maharoof b C R D Fernando,v Sri Lanka,Rajkot,9 Nov 2005,ODI # 2295
M354,39,76,48,8,0,81.25,2,caught,2,c & b D N T Zoysa,v Sri Lanka,Vadodara,12 Nov 2005,ODI # 2296
M355,2,20,9,0,0,22.22,2,caught,1,c †M V Boucher b S M Pollock,v South Africa,Hyderabad (Deccan),16 Nov 2005,ODI # 2297
M356,2,31,22,0,0,9.09,2,caught,2,c sub b S M Pollock,v South Africa,Bengaluru,19 Nov 2005,ODI # 2298
M357,2,18,15,0,0,13.33,3,caught,1,c †M V Boucher b S M Pollock,v South Africa,Kolkata,25 Nov 2005,ODI # 2299
M358,30,77,44,5,0,68.18,2,caught,2,c A G Prince b A Nel,v South Africa,Mumbai,28 Nov 2005,ODI # 2300
M359,100,188,113,10,1,88.49,2,lbw,1,lbw b Arshad Khan,v Pakistan,Peshawar,6 Feb 2006,ODI # 2324
M360,42,71,43,8,0,97.67,2,caught,2,c †Kamran Akmal b Abdul Razzaq,v Pakistan,Rawalpindi,11 Feb 2006,ODI # 2327
M361,95,157,104,16,1,91.34,2,caught,2,c sub b Abdul Razzaq,v Pakistan,Lahore,13 Feb 2006,ODI # 2329
M362,0,7,3,0,0,0,2,caught,2,c †Kamran Akmal b Mohammad Sami,v Pakistan,Multan,16 Feb 2006,ODI # 2331
M363,2*,16,3,0,0,66.66,2,not out,1,not out,v Sri Lanka,Colombo (SSC),18 Aug 2006,ODI # 2405
M364,141*,-,148,13,5,95.27,2,not out,1,not out,v West Indies,Kuala Lumpur,14 Sep 2006,ODI # 2414
M365,12,30,17,2,0,70.58,2,caught,2,c †B J Haddin b M G Johnson,v Australia,Kuala Lumpur,16 Sep 2006,ODI # 2416
M366,65,154,102,7,0,63.72,2,run out,1,run out,v West Indies,Kuala Lumpur,20 Sep 2006,ODI # 2419
